"","year","commonName","sys_loc_code","facility","facility_code","perc_detected","LATITUDE","LONGITUDE"
"52",2005,"PFHxS","MNPCAP17829","3M Chemolite / Cottage Grove","SR0000033",1,44.789521,-92.911913
"53",2005,"PFHxS","MNPCAP17830","3M Chemolite / Cottage Grove","SR0000033",1,44.792068,-92.911694
"54",2005,"PFHxS","MNPCAP17831","3M Chemolite / Cottage Grove","SR0000033",0,44.794356,-92.913638
"55",2005,"PFHxS","MNPCAP17832","3M Chemolite / Cottage Grove","SR0000033",1,44.792198,-92.916422
"56",2005,"PFHxS","MNPCAP17833","3M Chemolite / Cottage Grove","SR0000033",1,44.785868,-92.914699
"57",2005,"PFHxS","MNPCAP17834","3M Chemolite / Cottage Grove","SR0000033",1,44.785839,-92.912171
"58",2005,"PFHxS","MNPCAP17835","3M Chemolite / Cottage Grove","SR0000033",0,44.79415,-92.914763
"59",2005,"PFHxS","MNPCAP17838","3M Chemolite / Cottage Grove","SR0000033",1,44.785503,-92.898355
"60",2005,"PFHxS","MNPCAP17839","3M Chemolite / Cottage Grove","SR0000033",1,44.78589,-92.897963
"61",2005,"PFHxS","MNPCAP17847","3M Chemolite / Cottage Grove","SR0000033",1,44.788502,-92.909993
"62",2005,"PFHxS","MNPCAP17852","3M Chemolite / Cottage Grove","SR0000033",1,44.785666,-92.909896
"63",2005,"PFHxS","MNPCAP17853","3M Chemolite / Cottage Grove","SR0000033",1,44.785557,-92.908392
"64",2005,"PFHxS","MNPCAP17854","3M Chemolite / Cottage Grove","SR0000033",1,44.790407,-92.917764
"65",2005,"PFHxS","MNPCAP17855","3M Chemolite / Cottage Grove","SR0000033",1,44.791379,-92.917965
"66",2005,"PFHxS","MNPCAP17862","3M Chemolite / Cottage Grove","SR0000033",1,44.786534,-92.914749
"67",2005,"PFOA","134754","East Metro PFAS","SR0001491",0,44.99479,-92.946513
"68",2005,"PFOA","174298","East Metro PFAS","SR0001491",0,44.962223,-92.951247
"69",2005,"PFOA","233554","3M Chemolite / Cottage Grove","SR0000033",1,44.787238,-92.906266
"70",2005,"PFOA","233567","3M Chemolite / Cottage Grove","SR0000033",1,44.80406,-92.913066
"71",2005,"PFOA","233568","3M Chemolite / Cottage Grove","SR0000033",1,44.793534,-92.909922
"72",2005,"PFOA","233569","3M Chemolite / Cottage Grove","SR0000033",1,44.791629,-92.914261
"73",2005,"PFOA","233570","3M Chemolite / Cottage Grove","SR0000033",1,44.787513,-92.912383
"74",2005,"PFOA","233571","3M Chemolite / Cottage Grove","SR0000033",1,44.802888,-92.923058
"75",2005,"PFOA","233573","3M Chemolite / Cottage Grove","SR0000033",1,44.797283,-92.903973
"76",2005,"PFOA","233575","3M Chemolite / Cottage Grove","SR0000033",1,44.793515,-92.92063
"77",2005,"PFOA","233951","3M Chemolite / Cottage Grove","SR0000033",1,44.786098,-92.909782
"78",2005,"PFOA","233952","3M Chemolite / Cottage Grove","SR0000033",1,44.785578,-92.901869
