"FACILITY_CODE","FACILITY_ID","FACILITY_TYPE","FACILITY_NAME","SYS_LOC_CODE","LOC_TYPE","LOC_TYPE_2","LATITUDE","LONGITUDE","SURF_ELEV","GEOLOGIC_UNIT_DESC","DEPTH_OF_WELL","SAMPLE_DATE","MATRIX_CODE","MEDIUM_CODE","ANALYSIS_DATE","LAB_ANALYTICAL_METHOD_CODE","LAB_ANALYTICAL_METHOD_NAME","CAS_RN","ANALYTE_NAME","ANALYTE_TYPE_DESC","ANALYTE_GROUP_DESC","RESULT_NUMERIC","RESULT_UNIT","VALUE_TYPE","DETECT_FLAG","DETECTION_REMARK","METHOD_DETECTION_LIMIT","REPORTING_DETECTION_LIMIT","MIN_ACTION_LEVEL_CODE","MIN_ACTION_LEVEL","ACTION_LEVEL_UNIT","ACTION_LEVEL_EXCEEDANCE","MOST_RECENT_RESULT_FLAG","FIVE_YEAR_FLAG","REPORT_DATE"
"SR0000376","1750","Superfund","Fish Hatchery Dump","784701","Well","Well-Monitoring","44.943114","-93.04373","","","19","06-14-2022","Wtr-Ground","Water","06-21-2022","8260D","Volatile Organic Compounds by GC/MS","594-20-7","2,2-Dichloropropane","Other organic","Other Organics","","ug/L","","N","Below Reporting Limit","0.12","0.50","","","","","Y","Y","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","784701","Well","Well-Monitoring","44.943114","-93.04373","","","19","06-14-2022","Wtr-Ground","Water","06-21-2022","8260D","Volatile Organic Compounds by GC/MS","60-29-7","Diethyl ether (Ethyl ether)","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.19","1.0","RAA","200","ug/L","","Y","Y","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","784701","Well","Well-Monitoring","44.943114","-93.04373","","","19","06-14-2022","Wtr-Ground","Water","06-20-2022","8270E","Semivolatile Organic Compounds by GC/MS","606-20-2","2,6-Dinitrotoluene","SVOC","Semi-Volatile Organics","","ug/L","","N","Below Reporting Limit","1.5","9.5","","","","","Y","Y","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","784701","Well","Well-Monitoring","44.943114","-93.04373","","","19","06-14-2022","Wtr-Ground","Water","06-20-2022","8270E","Semivolatile Organic Compounds by GC/MS","62-75-9","N-Nitrosodimethylamine","SVOC","Semi-Volatile Organics","","ug/L","","N","Below Reporting Limit","1.5","9.5","HBV","0.005","ug/L","","Y","Y","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","784701","Well","Well-Monitoring","44.943114","-93.04373","","","19","06-14-2022","Wtr-Ground","Water","06-20-2022","8270E","Semivolatile Organic Compounds by GC/MS","621-64-7","N-Nitroso-di-n-propylamine","SVOC","Semi-Volatile Organics","","ug/L","","N","Below Reporting Limit","1.5","9.5","","","","","Y","Y","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","784701","Well","Well-Monitoring","44.943114","-93.04373","","","19","06-14-2022","Wtr-Ground","Water","06-21-2022","8260D","Volatile Organic Compounds by GC/MS","630-20-6","1,1,1,2-Tetrachloroethane","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.19","0.50","HRL","70","ug/L","","Y","Y","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","784701","Well","Well-Monitoring","44.943114","-93.04373","","","19","06-14-2022","Wtr-Ground","Water","06-21-2022","8260D","Volatile Organic Compounds by GC/MS","67-64-1","Acetone","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","1.9","5.0","HBV","3000","ug/L","","Y","Y","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","784701","Well","Well-Monitoring","44.943114","-93.04373","","","19","06-14-2022","Wtr-Ground","Water","06-21-2022","8260D","Volatile Organic Compounds by GC/MS","67-66-3","Chloroform","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","0.50","HRL","20","ug/L","","Y","Y","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","784701","Well","Well-Monitoring","44.943114","-93.04373","","","19","06-14-2022","Wtr-Ground","Water","06-20-2022","8270E","Semivolatile Organic Compounds by GC/MS","67-72-1","Hexachloroethane","SVOC","Semi-Volatile Organics","","ug/L","","N","Below Reporting Limit","2.4","9.5","","","","","Y","Y","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","784701","Well","Well-Monitoring","44.943114","-93.04373","","","19","06-14-2022","Wtr-Ground","Water","06-20-2022","8270E","Semivolatile Organic Compounds by GC/MS","7005-72-3","4-Chlorophenylphenyl ether","SVOC","Semi-Volatile Organics","","ug/L","","N","Below Reporting Limit","2.0","9.5","","","","","Y","Y","04-09-2023"
