"FACILITY_CODE","FACILITY_ID","FACILITY_TYPE","FACILITY_NAME","SYS_LOC_CODE","LOC_TYPE","LOC_TYPE_2","LATITUDE","LONGITUDE","SURF_ELEV","GEOLOGIC_UNIT_DESC","DEPTH_OF_WELL","SAMPLE_DATE","MATRIX_CODE","MEDIUM_CODE","ANALYSIS_DATE","LAB_ANALYTICAL_METHOD_CODE","LAB_ANALYTICAL_METHOD_NAME","CAS_RN","ANALYTE_NAME","ANALYTE_TYPE_DESC","ANALYTE_GROUP_DESC","RESULT_NUMERIC","RESULT_UNIT","VALUE_TYPE","DETECT_FLAG","DETECTION_REMARK","METHOD_DETECTION_LIMIT","REPORTING_DETECTION_LIMIT","MIN_ACTION_LEVEL_CODE","MIN_ACTION_LEVEL","ACTION_LEVEL_UNIT","ACTION_LEVEL_EXCEEDANCE","MOST_RECENT_RESULT_FLAG","FIVE_YEAR_FLAG","REPORT_DATE"
"SR0000206","33288941","Superfund","Pilgrim Cleaners","660018","Well","Well-Monitoring","45.080036","-93.33121","864","","26","05-06-2013","Wtr-Ground","Water","","USGS LCAB","Antibiotics in Water by LC/MS","82419-36-1","Ofloxacin","Other organic","Other Organics","","ug/L","Actual","N","Present Below Quantification Limit","","0.005","","","","","Y","N","04-09-2023"
"SR0000206","33288941","Superfund","Pilgrim Cleaners","660018","Well","Well-Monitoring","45.080036","-93.33121","864","","26","08-04-2016","Wtr-Ground","Water","08-18-2016","MDA PEST GCMSMS","Polar Pesticides and Metabolites in Water by Gas Chromatography/Mass Spectrometry/Mass Spectrometry","82657-04-3","Bifenthrin","Pesticide","Pesticides and PCBs","","ng/L","Actual","N","Not Detected","20","20","","","","","Y","N","04-09-2023"
"SR0000206","33288941","Superfund","Pilgrim Cleaners","660018","Well","Well-Monitoring","45.080036","-93.33121","864","","26","09-21-2015","Wtr-Ground","Water","","MDA PEST GCMSMS","Polar Pesticides and Metabolites in Water by Gas Chromatography/Mass Spectrometry/Mass Spectrometry","82657-04-3","Bifenthrin","Pesticide","Pesticides and PCBs","","ng/L","Actual","N","Not Detected","20","20","","","","","N","N","04-09-2023"
"SR0000206","33288941","Superfund","Pilgrim Cleaners","660018","Well","Well-Monitoring","45.080036","-93.33121","864","","26","09-29-2014","Wtr-Ground","Water","","MDA PEST GCMSMS","Polar Pesticides and Metabolites in Water by Gas Chromatography/Mass Spectrometry/Mass Spectrometry","82657-04-3","Bifenthrin","Pesticide","Pesticides and PCBs","","ng/L","Actual","N","Not Detected","20","20","","","","","N","N","04-09-2023"
"SR0000206","33288941","Superfund","Pilgrim Cleaners","660018","Well","Well-Monitoring","45.080036","-93.33121","864","","26","05-06-2013","Wtr-Ground","Water","","O-1433-01","Wastewater compounds in water by SPE and GC/MS","83-34-1","3-Methylindole","Other organic","Other Organics","","ug/L","Actual","N","Present Below Quantification Limit","","0.036","","","","","Y","N","04-09-2023"
"SR0000206","33288941","Superfund","Pilgrim Cleaners","660018","Well","Well-Monitoring","45.080036","-93.33121","864","","26","05-06-2013","Wtr-Ground","Water","","O-1433-01","Wastewater compounds in water by SPE and GC/MS","83-46-5",".beta.-Sitosterol","Other organic","Other Organics","","ug/L","Actual","N","Present Below Quantification Limit","","4","","","","","Y","N","04-09-2023"
"SR0000206","33288941","Superfund","Pilgrim Cleaners","660018","Well","Well-Monitoring","45.080036","-93.33121","864","","26","08-04-2016","Wtr-Ground","Water","08-16-2016","MDA PEST LCMSMS","Polar Pesticides and Metabolites in Water by Liquid Chromatography/Mass Spectrometry/Mass Spectrometry","83055-99-6","Bensulfuron-methyl","Pesticide","Pesticides and PCBs","","ng/L","Actual","N","Not Detected","16.7","16.7","","","","","Y","N","04-09-2023"
"SR0000206","33288941","Superfund","Pilgrim Cleaners","660018","Well","Well-Monitoring","45.080036","-93.33121","864","","26","09-21-2015","Wtr-Ground","Water","","MDA PEST LCMSMS","Polar Pesticides and Metabolites in Water by Liquid Chromatography/Mass Spectrometry/Mass Spectrometry","83055-99-6","Bensulfuron-methyl","Pesticide","Pesticides and PCBs","","ng/L","Actual","N","Not Detected","16.7","16.7","","","","","N","N","04-09-2023"
"SR0000206","33288941","Superfund","Pilgrim Cleaners","660018","Well","Well-Monitoring","45.080036","-93.33121","864","","26","09-29-2014","Wtr-Ground","Water","","MDA PEST LCMSMS","Polar Pesticides and Metabolites in Water by Liquid Chromatography/Mass Spectrometry/Mass Spectrometry","83055-99-6","Bensulfuron-methyl","Pesticide","Pesticides and PCBs","","ng/L","Actual","N","Not Detected","16.7","16.7","","","","","N","N","04-09-2023"
"SR0000206","33288941","Superfund","Pilgrim Cleaners","660018","Well","Well-Monitoring","45.080036","-93.33121","864","","26","05-06-2013","Wtr-Ground","Water","","USGS RM 9017","Pharmaceuticals in Water by HPLC-MS/MS","83799-24-0","Fexofenadine","Other organic","Other Organics","","ng/L","Actual","N","Present Below Quantification Limit","","19.9","","","","","Y","N","04-09-2023"
